en,zh-hant,zh-hans
thermal light,熱量燈,
thermal mass,熱質量,
thermal noise,熱雜訊,
thermal noise power,熱雜訊功率,
thermal plotter,熱繪圖器,
thermal printer,熱列印機,熱敏印刷機
thermal printing,感熱式列印,
thermal printing technique,熱列印技術,
thermal radiation,熱輻射,
thermal recalibration,熱再校正,熱校正
thermal resistance,熱阻,熱阻
thermal resistor,熱電阻器,
thermal run-away,熱耗散,
thermal sensitive paper,熱敏紙,
thermal sensitive ribbon,熱敏色帶,
thermal sensor,熱感測器,熱感器
thermal shock,熱震動,
thermal shock test,熱震動測試,
thermal stencil,熱模板,
thermal time constant,熱時間常數,
thermal transfer,熱傳,
thermal transfer printer,熱傳送式列印機,
thermal warning,熱警告,
thermal wax-transfer printer,熱轉式列印機,熱蠟轉印印刷機
thermal-type spirit master,熱印原版,
thermal-type spirit transfer sheet,熱印薄版,
thermionic integrated micro modules,熱離子積體微型模組,
thermionic tube,熱離子管,
thermistor,熱阻器,
thermistor test program,熱阻器測試程式,
thermocompression bond,熱壓合,
thermocompression bonder,熱壓焊接機,
thermocompression bonding,熱壓接合,熱壓焊
thermocouple,熱電偶,
thermocouple connector,熱電偶連接器,
thermocouple thermometer,熱電偶溫度計,
thermoelectric cooler,熱電冷卻器,
thermoelectric couple,熱電偶,
thermoelectric couple effect,熱電偶效應,
thermoelectric effect,熱電效應,
thermoelement,熱電元件,
thermogalvanometer,熱電偶電流計,
thermograph,熱圖形,
thermographic document copying machine,熱圖形文件複製機,
thermographic process,熱圖形處理,
thermography,熱寫法,
thermomagnetic,熱磁的,
thermomagnetic effect,熱磁效應,
thermomagnetic writing,熱磁寫入,
thermometer,溫度計,
thermophone,熱感發聲器,
thermoplastic recording,熱塑記錄,
thermoplastic tape,熱塑帶,
thermoplastic-photoconductor device,熱塑光導裝置,
thermoplastics,熱感性塑料,
thermoprinter,熱感式列印機,
thermorelay,熱繼電器,
thermoremanence,熱頑磁,
thermoset,熱固性,
thermosetting plastics,熱固性塑料,
thermostat,恆溫器,
thermostated bath,恆溫槽,
thermostatic bath,恆溫槽,
thermostatic control,恆溫控制,
thermostatic oven,恆溫爐,
thermotape,熱感帶,
thesaurus,同義詞典,類屬詞典
thesaurus construction,詞庫構造,
thesaurus display,詞庫顯示,
thesaurus management system,詞庫管理系統,
thick film,厚膜,厚膜
thick film circuit,厚膜電路,厚膜電路
thick film fabrication,厚膜加工,
thick film hybrid circuit,厚膜併合電路,
thick film integrated circuit,厚膜積體電路,
thick film PCB,厚膜印刷電路板,
thick film storage,厚膜儲存器,
thick laminated plate,厚層板,厚層壓板
thick-film/thin-film hybrid fabrication,厚膜薄膜併合加工,
thick-film/thin-film printing,厚膜或薄膜列印,
thickness,厚度；寬度,
thickness loss,厚度損耗,
thickness meter,厚度計,厚度計
thin ferromagnetic film,薄鐵磁膜,
thin film,薄膜,薄膜
thin film capacitor,薄膜電容器,
thin film circuit,薄膜電路,薄膜電路
thin film condenser,薄膜電容器,
thin film cryotron,薄膜冷子管,
thin film deposition,薄膜沉積,
thin film diode,薄膜二極體,
thin film disk,薄膜磁碟,薄膜磁盤
thin film electronic circuit,薄膜電子電路,
thin film fabrication,薄膜加工,
thin film head,薄膜頭,
thin film hybrids,薄膜併合電路,
thin film hybrids construction,薄膜併合電路構造,
thin film IC process,薄膜積體電路處理,
thin film integrated circuit,薄膜積體電路,
thin film magnetic head,薄膜磁頭,薄膜磁頭
thin film magnetic module,薄膜磁模組,
thin film magnetoresistive,薄膜磁電阻,
thin film magnetoresistive head,薄膜磁電阻頭,
thin film memory,薄膜記憶體,
thin film microelectronics,薄膜微電子學,
thin film processing,薄膜處理,
thin film rod,薄膜棒,
thin film storage,薄膜儲存器,
thin film store control,薄膜儲存控制,
thin film technology,薄膜技術,
thin film terminal,薄膜終端,
thin film transistor display,薄膜電晶體顯示器,薄膜晶體管[液晶]顯示器
thin film transistor,薄膜電晶體,
thin lens,薄透鏡,
thin list,薄串列,
thin membrane,薄膜,
thin route,稀路線,
thin route circuit,稀路線電路,
thin route earth station,稀路線地面站,
thin route network,稀路線網路,
thin route satellite communication,稀路線衛星通訊,
thin route service,稀路線業務,
thin route system,稀路線系統,
thin window display,薄窗顯示,
thin window memory,薄窗記憶體,
thin window printing,薄窗列印,
thin wire communication,稀線式通信,
thinner,稀釋劑,
thinning,細化,細化
