en,zh-hant,zh-hans
invocation of sub-schema,子網目調用,
invocation procedure,調用程序,
invocation style,調用式樣,
invoice,發票,
invoice system,發票系統,
invoke,引動,
invoked block,被調用塊,
invoked procedure,被調用程序,
invoking block,調用塊,
invoking function,調用功能,
invoking subprogram,調用次程式,
involuntary interrupt,偶然中斷,
involuntary interrupt program,偶然中斷程式,
involutory matrix,對合矩陣,
IOD,隨選資訊,信息點播
ion,離子,
ion absorption,離子吸收,
ion beam implantation,離子束植入,
ion exchange process,離子交換處理,
ion gun,離子槍,
ion implantation,離子植入,
ion implantation apparatus,離子植入儀器,
ion implanted device,離子植入裝置,
ion implanted region,離子植入區域,
ion laser,離子雷射,
ion-deposition printer,離子沉積印表機,離子沉積印刷機
ionic accelerator,離子加速器,
ionic mobility,離子移動率,
ionic semiconductor,離子半導體,
ionization,電離,
ionization chamber,電離室,
ionized gas readout,氣體電離式顯示,
IP,資訊處理,信息處理
IP,網際網路協定,網際協議
IP address,"網際網際協定位址, IP位址","網際協議地址, *IP地址"
IP datagram,IP資料包,IP數據報
IP phone,網際網路電話,"因特網電話, *IP電話"
IPC,過程間通訊,進程間通信
IPI,智慧型週邊介面,"智能外圍接口, *IPI接口"
IPL,初始程式載入,初始程序裝入
IPL,資訊處理語言,信息處理語言
IPM,人際訊息處理,人際消息處理
IP-message,人際訊息,人際消息
IPOA,ATM上的網際網際協定,ATM上的網際協議
IPP,網際網路平台提供者,因特網平台提供者
IPS,資訊處理系統,信息處理系統
IPU,指令處理裝置,指令處理部件
IRC,多人線上即時交談系統,因特網接力閑談
IRM,資訊資源管理,信息資源管理
irrational number,無理數,
irreducible graph,不可約圖,
irreflexivity,非自反性,非自反性
irrelevance,無關,
irrelevant word list,無關字表,
irreversible encryption,不可逆加密,不可逆加密
IRSG,網際網路研究指導組,因特網研究指導組
IRTF,網際網路研究任務編組,因特網研究[任務]部
ISA,指令集架構,指令集體系結構
ISA,工業標準架構,工業標准體系結構
ISA bus,工業標準架構匯流排,工業標准結構總線
