en,zh-hant,zh-hans
auto save,自動保存,
auto scaling,自動調整比率尺,
auto score,自動劃線器,
auto screen blank,自動螢幕消除,
auto shift,自動移位,
auto skip option,自動跳越選項,
auto sorter,自動分類機；自動排序機,
auto start job entry,自動起動工件入口,
auto start monitor,自動起動監視器,
auto stop,自動停機,
auto swap mode,自動交換模式,
auto swap-off,自動交換停止,
auto synchronous,自動同步,
auto synchronous code,自動同步代碼,
auto tab,自動跳欄,
auto termination unit,自動終止裝置,
auto test,自動測試,
auto threading tape,自動引帶,
auto threading tape mechanism,自動引帶機構,
auto timer,自動計時器,
auto tracking,自動追蹤,
auto transformer,自耦變壓器,
auto variable threshold,自動可變定限,
auto variance,自動方差,
auto verify,自動檢驗,
auto wraparound,自動環繞,
auto writer,自動寫入機,
auto XOFF,自動XOFF,
auto XON,自動XON,
auto zeroing,自動歸零,
AutoCAD,AutoCAD軟體,
autocompensation,自動補償,自動補償
autodegauss,自動消磁,
autokey cipher,自動密鑰密碼,自動密鑰密碼
auto-man,自動－手控轉換開關,自動－手控轉換開關
automat,自動機,
automat and automatic control,自動機與自動控制,
automata,自動機,
automata and formal language,自動機與形式語言,
automata causality,自動機因果律,
automata classification,自動機分類,
automata model,自動機模型,
automata representation,自動機表示,
automata size,自動機大小,
automata theory,自動機理論,
automate,自動；自動化,自動
automated,自動化,
automated administration,自動化管理,
automated analysis,自動化分析,
automated assembly,自動化組合,
automated assistant,自動化輔助,
automated bibliography,自動化書目,
automated call distribution,自動化呼叫分配,
automated clearing service,自動票據交換服務,
automated data,自動化資料,
automated data management information system,自動化資料管理資訊系統,
automated data management,自動化資料管理,
automated data medium,自動化資料媒體,
automated data processing,自動化資料處理,
automated data processing system,自動化資料處理系統,
automated data system,自動化資料系統,
automated data wiring,自動化資料佈線,
automated decision system,自動化決策系統,
automated design engineering,自動化設計工程,
automated design tool,自動化設計工具,自動設計工具
automated design,自動化設計,
automated dictionary,自動化字典,
automated digital weather communication program,自動化數位氣象通信程式,
automated document management system,自動化文件管理系統,
automated documentation,自動化文件製作,
