en,zh-hant,zh-hans
原文,臺灣用語,大陸用語
d.c. amplifier,直流放大器,
d.c. analog computer,直流類比計算機,
d.c. flipflop,直流正反器,
d.c. restoration,直流復原,
d.c. signaling,直流發信號；直流信令,
D/A converter,數位類比轉換器,
DA,設計自動化,設計自動化
DAC,數位類比轉換器,數模轉換器
DAC monitor,資料獲取與控制監視器,
DAC-1 monitor,DAC-1監視器,
dagger,劍號,
DAI,分散式人工智慧,分布[式]人工智能
daily back up volume,每日備份卷,
daily batch,每日批次處理,
daily capacity,每日產能；每日容量,
daily initialization diskette,每日初始化磁片,
daily traffic flow,每日交通流,
daisy chain,菊鍊,菊花鏈
daisy chain bus,菊鍊匯流排,
daisy chain connection,菊鍊連接,
daisy chain interrupt,菊鍊中斷,
daisy chain recursion,菊鍊遞迴,
daisy chained cable,菊鍊電纜,
daisy chained memory chip,菊鍊記憶體晶片,
daisy chaining bus arbitration,菊式鍊接匯流排仲裁,
daisy wheel,菊輪式,
daisy wheel printer,菊輪列印機,
D-algorithm,D演算法,
damage,損壞,
damage assessment routine,損壞評價常式,
damage correction,損壞校正,
damaged database,受損資料庫,
damaged natural frequency,受損自然頻率,
damaged satellite,受損衛星,
damon,常駐服務程式,守護程序
damped method,阻尼法,
damper,阻尼器,
damping,阻尼,
damping action,阻尼作用,阻尼作用
damping control,阻尼控制,
damping factor,阻尼因子,
damping pad holder,阻尼墊架,
danger protecting function,危險保護功能,
dangerous area,危險區,
dangerous function,危險函數,
dangling edge,搖擺邊,懸邊
dangling pointer,搖擺指標,
dangling pointer problem,搖擺指標問題,
dark adaptation,暗適應,
dark current,暗電流,
dark region,暗區域,
dark satellite,秘密衛星；暗衛星；失效衛星,
DASD dump restore program,直接存取儲存設備傾印復原程式,
DASD queue,直接存取儲存設備佇列,
DASD sharing,直接存取儲存設備分享,
dash,長劃；撞,
dash control,緩衝控制,
dash out,刪去；勾掉,
dash pattern,長劃型樣,
dashed line,虛線,虛線
dashpot,減振器；阻尼延遲電路,
DAT,DAT磁帶,"數據數字音頻磁帶, *DAT磁帶"
data,資料；數據,數據
data abstraction,資料抽象化,數據抽象
data abstraction language,資料抽象化語言,
data accepted,已接受資料,
data accepted flag,資料接受旗標,
data access,資料存取；數據存取,
data access arrangement,資料存取安排,
data access control,資料存取控制,
data access control language,資料存取控制語言,
data access data channel,資料存取數據通道,
data access language,資料存取語言,
data access management,資料存取管理,
data access method,資料存取方法,
data access path,資料存取路徑,"數據存取路徑, *數據訪問路徑"
data access protocol,資料存取協定,
data access register,資料存取暫存器,
data access security,資料存取保全,
data access service,資料存取服務,
data access system,資料存取系統,
data access system language,資料存取系統語言,
data accumulation and distribution units,資料累積分配單元,
data accumulator,資料累加器,
data acquisition,資料獲取,數據獲取
data acquisition and computer system,資料獲取與電腦系統,
data acquisition and control system,資料獲取和控制系統,
data acquisition and control,資料獲取與控制,
data acquisition and conversion system,資料獲取與轉換系統,
data acquisition and correction system,資料獲取校正系統,
data acquisition and display system,資料獲取與顯示系統,
data acquisition and interpretation system,資料獲取與解譯系統,
data acquisition and monitoring equipment,資料獲取與監視設備,
data acquisition and processing program,資料獲取和處理程式,
data acquisition and processing system,資料獲取和處理系統,
data acquisition and processing unit,資料獲取與處理單元,
data acquisition and processing,資料獲取和處理,
data acquisition and recording system,資料獲取與記錄系統,
data acquisition and recording terminal,資料獲取與記錄終端機,
data acquisition and reduction system,資料獲取與縮減系統,
data acquisition and reports control,資料獲取與報表控制,
data acquisition center,資料獲取中心,
data acquisition chassis,資料獲取框架,
data acquisition computer,資料獲取計算機,
data acquisition control and buffer unit,資料獲取控制與緩衝單元,
data acquisition control system,資料獲取控制系統,
data acquisition equipment,資料獲取設備,
data acquisition facility,資料獲取設施,
data acquisition logging system,資料獲取登錄系統,
data acquisition multiprogramming system,資料獲取多程式系統,
data acquisition probe,資料獲取探針,
data acquisition recorder,資料獲取記錄器,
data acquisition recording system,資料獲取記錄系統,
data acquisition station,資料獲取站,
data acquisition statistical recorder,資料獲取統計記錄器,
data acquisition system,資料獲取系統,數據采集系統
data acquisition test,資料獲取測試,
data acquisition unit,資料獲取裝置,
data acquisition,資料獲取；數據獲取,數據獲取
data adapter unit,資料配接單元,
data adapter,資料配接器,
data adaptive monitor,資料自適應監視器,
data address,資料位址,
data address register,資料位址暫存器,
data addressed memory,資料定址記憶體,
data addressed storage,資料定址儲存器,
data addressing,資料定址,
data administration,資料管理,數據管理
data administration control system,資料管理控制系統,
data administration system,資料管理系統,
data administrator,資料管理者；資料管理程式,
data aggregate,資料聚合,
data aggregate type,資料聚合類型,
data aggregation,資料聚合,
