en,zh-hant,zh-hans
potential well,勢井,
potentiometer,電位計,
potentiometer loading error,電位計加載誤差；電位計載入誤差,
potentiometer multiplier,電位計乘法器,
potentiometer set mode,電位計設定模,
power,功率；冪；電力；電源,
power amplifier,功率放大器,
power box,電力箱,
power bus,電源匯流排,電源總線
power cable,電力電纜,
power circuit breaker,電源斷路器,
power conditioner,淨化電源,淨化電源
power consumption,功率消耗,功耗
power control,功率控制；電力控制,
power control and distribution,功率控制與分配,
power control compartment,電力控制室,
power control microcode,電源控制微碼,電源控制微碼
power control unit,電力控制單元,
power conversion unit,電力轉換裝置,
power cord,電力線,
power cord connector,電力電線連接器,
power density,功率密度,功率密度
power density meter,功率密度計,
power dissipation,功率消耗,功耗
power dissipation index,功率消耗指數,
power distribution panel,電力分配盤,
power distribution system,電力分配系統,電源分配系統
power distribution unit,電力分配單元,
power down,電源切斷,
power dump,電源撤除,
power factor meter,功率因數計,
power fail interrupt auto restart,電源故障中斷自動啟動,
power failure protection,電力故障保護,
power fall restart,電源故障再啟動,
power feeding,功率饋送,
power gain,功率增益,
power indicator,電力指示器,
power input,電力輸入,
power input panel,電力輸入面板,
power interlock,電力互鎖,
power level,功率位準,
power line filter,電力線濾波器,
power line,電力線,
power manager,電源管理器,
power off,電力關閉,
power on,電力開啟,
power on hours,通電時間,
power on light,電力開啟指示燈,
power on self-test,電力開啟自我測試,
power outlet,電力出口,
power PC,裝有威力晶片的個人電腦,
power plane,電源層,
power plug,電力插頭,
power ready,電力備妥,
power ready light,電力備妥燈,
power rectifier,功率整流器,
power residual method,乘冪餘數法,
power resistor,功率電阻器,
power sequence cable,電力順序電纜,
power set,冪集,
power spectral density,功率頻密度,
power spectrum,功率頻譜,
power supply,電力供應；電源,電源
power supply screen,電力供應螢幕,電源屏幕
power supply trace,電力供應追蹤,電源跟蹤
power switch,電力開關,
power table,乘冪表,
power transistor,功率電晶體,
power up,電力開啟,
powerPC,威力晶片(CPU本身),
power-system application,電力系統應用,
PPL,多型程式設計語言,多態編程語言
PPP,點對點協定,點對點協議
P-preserve mapping,保留P映射,保P映射
P-pulse,p脈波,
PR,條註,
practical testing,實踐測試,
pragma,標泣；編譯指示,
pragma in line,直接插入標註,
pragmatic analysis,實用分析,語用分析
pragmatics,語用學；實際學,語用學
preallocation,預分配,預分配
preamble,前文,前同步碼
preamplifier,前置放大器,
